,month,employee_name,user_id,email,role,supervisor
74,5/1/17,Ruth Daphne Carver,RDC0283,Ruth.Daphne.Carver@dtaa.com,ProductionLineWorker,Nadine Anjolie Gregory
434,5/1/17,Sonia Nerea Love,SNL0096,Sonia.Nerea.Love@dtaa.com,SystemsEngineer,Evan Bevis Colon
567,5/1/17,Garrison George Guerrero,GGG0825,Garrison.George.Guerrero@dtaa.com,Salesman,Dennis Carson Mendoza
640,5/1/17,Chris L North,CLN1234,Chris.L.North@dtaa.com,Scientist,Emmanuel Casey Wiggins
710,5/1/17,Hanae Rhiannon Lindsey,HRL0797,Hanae.Rhiannon.Lindsey@dtaa.com,ProductionLineWorker,Hector Davis Ellison
793,5/1/17,Dominic Zeph Johns,DZJ0261,Dominic.Zeph.Johns@dtaa.com,HardwareEngineer,Evan Bevis Colon
861,5/1/17,Halee Autumn Craft,HAC0651,Halee.Autumn.Craft@dtaa.com,SoftwareEngineer,Gabriel Camden Joseph
1032,6/1/17,Scarlett Kerry Charles,SKC0670,Scarlett.Kerry.Charles@dtaa.com,ProductionLineWorker,Abraham Perry Reyes
1123,6/1/17,Giacomo Hamilton Giles,GHG0667,Giacomo.Hamilton.Giles@dtaa.com,ProductionLineWorker,Abraham Perry Reyes
1544,6/1/17,Ima Quintessa Williams,IQW0294,Ima.Quintessa.Williams@dtaa.com,ProductionLineWorker,Nadine Anjolie Gregory
1546,6/1/17,Whilemina Shafira Perry,WSP0210,Whilemina.Shafira.Perry@dtaa.com,ITAdmin,Jaquelyn Yoshi Mckinney
1674,6/1/17,Carson Caesar Olson,CCO0065,Carson.Caesar.Olson@dtaa.com,SoftwareEngineer,Carl Scott Hooper
1793,6/1/17,Kenyon Arthur Kent,KAK0992,Kenyon.Arthur.Kent@dtaa.com,Mathematician,Josephine Sylvia Parsons
1912,6/1/17,Philip Isaiah Best,PIB0855,Philip.Isaiah.Best@dtaa.com,Technician,Hunter Stephen Slater
2035,7/1/17,Palmer Ahmed Sutton,PAS0349,Palmer.Ahmed.Sutton@dtaa.com,Mathematician,Haviva Jada Molina
2036,7/1/17,Chaney Sean Fuentes,CSF0929,Chaney.Sean.Fuentes@dtaa.com,ProductionLineWorker,Theodore Upton Barry
2370,7/1/17,Lucian Rajah Lloyd,LRL0873,Lucian.Rajah.Lloyd@dtaa.com,Technician,Hunter Stephen Slater
2735,7/1/17,Lillith Chanda Delgado,LCD0715,Lillith.Chanda.Delgado@dtaa.com,Salesman,Castor Chaim Combs
3208,8/1/17,Paki Jason Emerson,PJE0714,Paki.Jason.Emerson@dtaa.com,Salesman,Castor Chaim Combs
3506,8/1/17,Justine Amy Lara,JAL0281,Justine.Amy.Lara@dtaa.com,ProductionLineWorker,Nadine Anjolie Gregory
3621,8/1/17,Noah Perry Bolton,NPB0217,Noah.Perry.Bolton@dtaa.com,Physicist,Evelyn Xena Santana
4080,9/1/17,Jada Quinn Vang,JQV0922,Jada.Quinn.Vang@dtaa.com,ProductionLineWorker,Theodore Upton Barry
4297,9/1/17,Levi Keegan Foley,LKF0701,Levi.Keegan.Foley@dtaa.com,Salesman,Castor Chaim Combs
4594,9/1/17,Chancellor Cody Douglas,CCD0463,Chancellor.Cody.Douglas@dtaa.com,Salesman,Bo Mira Dillard
4618,9/1/17,Martin Jonathan Martin,MJM0080,Martin.Jonathan.Martin@dtaa.com,ElectricalEngineer,Jolene Martha Blake
4641,9/1/17,Denise Serina Le,DSL0441,Denise.Serina.Le@dtaa.com,ProductionLineWorker,Brenna Martha Russell
4685,9/1/17,Cedric Cyrus Harrison,CCH0959,Cedric.Cyrus.Harrison@dtaa.com,IndustrialEngineer,Desiree Claudia Booth
4799,9/1/17,Kelly Hashim Carr,KHC0465,Kelly.Hashim.Carr@dtaa.com,Salesman,Bo Mira Dillard
4883,10/1/17,Simone Amber Owens,SAO0920,Simone.Amber.Owens@dtaa.com,ProductionLineWorker,Theodore Upton Barry
4888,10/1/17,Megan Brynn Snyder,MBS0355,Megan.Brynn.Snyder@dtaa.com,Physicist,Haviva Jada Molina
4892,10/1/17,Damon Hyatt Boyle,DHB0696,Damon.Hyatt.Boyle@dtaa.com,Salesman,Castor Chaim Combs
4994,10/1/17,Dane Bert Mcfadden,DBM0279,Dane.Bert.Mcfadden@dtaa.com,ProductionLineWorker,Nadine Anjolie Gregory
5009,10/1/17,Halee Morgan Wilkins,HMW0274,Halee.Morgan.Wilkins@dtaa.com,MechanicalEngineer,Melissa Ruby Knight
5143,10/1/17,Hector Martin Daugherty,HMD0974,Hector.Martin.Daugherty@dtaa.com,ElectricalEngineer,Ann Hannah Dickerson
5524,10/1/17,Shellie Medge Jefferson,SMJ0486,Shellie.Medge.Jefferson@dtaa.com,Technician,William Vernon Booth
5667,10/1/17,Francesca Kylie Russo,FKR0134,Francesca.Kylie.Russo@dtaa.com,AdministrativeAssistant,Suki Ginger Estes
